product_number,department_desc,avg_elasticity,total_orders,avg_discount
1120,MENS OWN BRAND DENIM,37295434414162.03,7441,16.852410864285712
1121,MENS OWN BRAND DENIM,4489234078320.055,10264,21.77607777318296
1122,MENS OWN BRAND DENIM,7855115629133.178,8965,13.852648809523808
1169,MENS BRANDED CLOTHING,3.7220655932615436,1087,8.866932857142857
1178,MENS BRANDED FOOTWEAR,1.15142857142857,180,15.607143307142858
1189,MENS BRANDED FOOTWEAR,207062051833124.94,1563,18.832906714285713
1199,MENS OWN BRAND FOOTWEAR,72638703667266.06,3750,6.210284613671274
1200,MENS OWN BRAND FOOTWEAR,79010519778429.77,15369,1.9234590325814538
1210,MENS BRANDED CLOTHING,1.6091750612730609,283,14.116883207792206
1214,MENS BRANDED CLOTHING,1.0143610331357162,132,16.29870138961039
1218,MENS BRANDED CLOTHING,1.272134855374942,2531,22.01360563265306
1219,MENS BRANDED CLOTHING,461907654089281.7,569,13.333538692307693
1221,MENS BRANDED CLOTHING,204709073971386.2,262,20.451272727272727
1254,MENS BRANDED CLOTHING,1.2934324105643054,580,21.95488732330827
1314,MENS OWN BRAND TOPS,1.0153023525157165,3558,35.90266347215496
1323,MENS OWN BRAND TOPS,1.0226950657058218,1110,20.233383493734337
1329,MENS OWN BRAND FOOTWEAR,268478762122612.94,2707,15.835878696223316
1332,MENS OWN BRAND TOPS,5.2481800975770385,120,23.13835363293651
1335,MENS OWN BRAND TOPS,127979529052872.02,1343,32.489439893557424
1338,MENS OWN BRAND BOTTOMS,1.5917782450300155,3273,30.89808770276498
1340,MENS OWN BRAND BOTTOMS,2.1387639526737776,3145,31.366389755844157
1343,MENS OWN BRAND TOPS,147659004176081.88,5104,9.35426244262295
1345,MENS OWN BRAND TOPS,1.2800590774162033,191,21.173552285714287
1349,MENS OWN BRAND BOTTOMS,4.552582964712685,3592,21.10561926984127
1358,MENS OWN BRAND TOPS,380770813975931.75,2314,36.32831655102041
1360,MENS OWN BRAND TOPS,58152649420849.734,2615,35.79994778397212
1365,MENS BRANDED FOOTWEAR,300239975158033.06,130,3.45
1390,MENS OWN BRAND FOOTWEAR,107228562556439.97,1416,20.771768707482995
1393,MENS OWN BRAND FOOTWEAR,114322144387096.42,1292,23.8360943992674
1396,MENS OWN BRAND FOOTWEAR,149807887812740.8,982,22.292912164835165
1399,MENS OWN BRAND FOOTWEAR,67361532888021.23,582,19.53537424489796
1424,MENS OWN BRAND FOOTWEAR,155893833255132.47,715,40.94664842857143
1429,MENS BRANDED CLOTHING,78.68888888888517,385,19.900190476190474
1447,MENS BRANDED CLOTHING,1.6547619047618995,188,21.836734693877553
1453,MENS BRANDED CLOTHING,2.513062136276425,347,18.931972789115644
1466,MENS BRANDED CLOTHING,1.2714040004646066,440,20.210084033613445
1494,MENS BRANDED CLOTHING,1.2454581646104879,505,14.23469430612245
1513,MENS BRANDED CLOTHING,3.230769230769227,188,27.252747252747252
1519,MENS BRANDED CLOTHING,1.667652872306139,750,26.329005102040814
1526,MENS OWN BRAND BOTTOMS,1.121319723969537,1357,35.310148851190476
1531,MENS OWN BRAND BOTTOMS,214457125112883.03,1235,51.12576530612245
1532,MENS OWN BRAND BOTTOMS,1.5446358689526158,2675,14.821429071428572
1533,MENS OWN BRAND BOTTOMS,2.2103646179127576,4099,23.47862750980392
1534,MENS OWN BRAND BOTTOMS,1.8506178114706822,3961,22.27418773389356
1551,MENS OWN BRAND TOPS,75059993789508.4,3080,22.799643032142857
1556,MENS OWN BRAND TOPS,301580332189988.9,3470,28.296785789285714
1558,MENS OWN BRAND TOPS,1.2050100122593015,4895,22.699272369272236
1571,MENS OWN BRAND OUTERWEAR,1.194232141441662,770,40.69910052910053
1585,MENS OWN BRAND BOTTOMS,238827252966617.12,2778,7.674083583333332
1588,MENS OWN BRAND BOTTOMS,464581856297166.6,1183,6.773257462857142
1594,MENS OWN BRAND BOTTOMS,3.355523792566538,1733,15.88744616017316
1595,MENS OWN BRAND BOTTOMS,36761535419875.49,4366,5.141277895604395
1596,MENS OWN BRAND BOTTOMS,333599972397815.25,4375,13.643809579365081
1598,MENS OWN BRAND BOTTOMS,3.862520733426194,1177,18.67099576190476
1602,MENS OWN BRAND BOTTOMS,181774446799445.47,5125,8.169464339285714
1607,MENS OWN BRAND BOTTOMS,1.6155318261710503,3771,26.738418528061224
1609,MENS OWN BRAND BOTTOMS,5.848097592273388,241,56.583214285714284
1613,MENS OWN BRAND BOTTOMS,1.8728800743066647,340,36.56619047619048
1614,MENS OWN BRAND BOTTOMS,120528878608628.23,808,9.404805528138528
1623,MENS OWN BRAND BOTTOMS,4.333788574036962,429,16.54081643367347
1624,MENS OWN BRAND BOTTOMS,1.2210525383306328,197,24.158730306878308
1626,MENS OWN BRAND BOTTOMS,4.576817466907014,555,31.699428571428573
1631,MENS OWN BRAND BOTTOMS,264917625139440.56,343,15.042647411764705
1633,MENS OWN BRAND BOTTOMS,97904339725445.83,126,21.942298136645963
1642,MENS OWN BRAND BOTTOMS,1.2810673781324677,134,41.61795936734694
1644,MENS OWN BRAND BOTTOMS,3.2181427316915996,93,37.52449776785714
1647,MENS OWN BRAND TOPS,93824992236885.64,634,19.45892900892857
1660,MENS OWN BRAND TOPS,1.8341112350294597,884,22.186258670068028
1683,MENS OWN BRAND BOTTOMS,546926709965297.94,1907,12.718571622119816
1687,MENS BRANDED FOOTWEAR,6.870672171519296,277,20.453035714285715
1694,MENS OWN BRAND FOOTWEAR,257348550135457.56,1785,13.634973804232803
1707,MENS OWN BRAND TOPS,1.357028532326548,646,18.546990081632654
1708,MENS OWN BRAND TOPS,1.173375484291094,2779,22.700892898809524
1711,MENS OWN BRAND FOOTWEAR,76332197074077.38,1372,28.025617518159805
1722,MENS OWN BRAND FOOTWEAR,1.7628614874448414,445,28.863191381787804
1723,MENS OWN BRAND FOOTWEAR,1.6604166666666653,185,29.28571428571429
1727,MENS OWN BRAND FOOTWEAR,5.549402261303223,215,25.980464535714287
1730,MENS OWN BRAND FOOTWEAR,2.6821073544765444,762,34.60361358263305
1736,MENS OWN BRAND FOOTWEAR,243437817695702.5,267,18.890000000000004
1738,MENS OWN BRAND FOOTWEAR,76332197074076.66,3409,14.3779908062954
1739,MENS OWN BRAND FOOTWEAR,75059993789508.61,1737,21.52147639047619
1745,MENS OWN BRAND FOOTWEAR,254920733624745.06,285,23.080000000000002
1755,MENS BRANDED CLOTHING,500399958596722.0,612,14.82968265079365
1760,MENS BRANDED CLOTHING,80421421917330.9,1163,26.735153275510207
1762,MENS BRANDED CLOTHING,1.3158422004345853,646,26.76125748285714
1778,MENS BRANDED CLOTHING,46.57441018073042,1194,20.149430226551228
1779,MENS BRANDED CLOTHING,4.753602538243833,1326,24.222996783972125
1793,MENS BRANDED CLOTHING,4.184051563398645,393,32.68691156462585
1820,MENS BRANDED CLOTHING,1.0517723413851103,946,22.184874008403362
1839,MENS BRANDED CLOTHING,1.2065266633167857,313,20.264550523809522
1840,MENS BRANDED CLOTHING,1.2781653196960865,1251,15.714285893772894
1844,MENS BRANDED CLOTHING,1.410112936212945,2424,15.757021039072038
1850,MENS BRANDED CLOTHING,1.224203940267977,1416,15.667013138528139
