date_of_order,orders,discount,is_holiday,is_weekend,is_summer,is_winter,discount_applied,discount_range,pct_change_discount,pct_change_orders,elasticity,elasticity_clipped,predicted_orders
2022-05-23,58.482209240573546,0.1762481344877906,0,4363,0,0,True,0-10%,-0.0820301647954326,-0.0647098292013826,0.7888540680462662,0.7888540680462662,66.51851419252628
2022-05-30,60.85395645246946,0.1733725329380603,1,4272,0,0,True,0-10%,-0.0163156424780734,0.0405550207951181,-2.4856527010578886,-2.4856527010578886,60.991941353021005
2022-06-06,62.96972915560276,0.1907580215222638,0,4599,1,0,True,0-10%,0.1002782176021772,0.0347680385380668,0.3467157611037552,0.3467157611037552,75.44116867039897
2022-06-13,92.21561338289962,0.1566788188317677,0,4708,1,0,True,0-10%,-0.1786514790756446,0.4644435448503863,-2.599718442038376,-2.599718442038376,92.15047980233861
2022-06-20,80.65586829527349,0.121433716293366,1,4746,1,0,True,0-10%,-0.2249512908075072,-0.1253556167286715,0.557256712236159,0.557256712236159,80.57509016016883
2022-06-27,96.0679766330324,0.22570026960134,0,4685,1,0,True,0-10%,0.858629353449756,0.1910847736625514,0.2225462860020112,0.2225462860020112,95.97790446876165
2022-07-04,92.58576739245883,0.2345488537560353,1,4839,1,0,True,0-10%,0.0392050225297682,-0.0362473465416592,-0.9245587479037112,-0.9245587479037112,92.53611812864601
2022-07-11,93.2251725969198,0.2411168999766945,0,4763,1,0,True,0-10%,0.0280028920008745,0.0069060852706508,0.2466204301482558,0.2466204301482558,93.06539615994949
2022-07-18,97.61178969729154,0.2447235813429065,0,4903,1,0,True,0-10%,0.0149582271776083,0.0470539981656914,3.145693510801123,3.145693510801123,88.44250704221352
2022-07-25,102.70313329792884,0.2557618888329704,0,4851,1,0,True,0-10%,0.0451052057570087,0.0521591051288607,1.1563876996782352,1.1563876996782352,88.37884329956901
2022-08-01,83.16887944768985,0.2374936525258908,0,4667,1,0,True,0-10%,-0.0714267336327419,-0.1902011479393971,2.6628845848861413,2.6628845848861413,83.23835892720096
2022-08-08,81.01964949548592,0.2217911892087617,0,4795,1,0,True,0-10%,-0.0661174020868505,-0.025841756754168,0.3908465235857687,0.3908465235857687,81.09786310747793
2022-08-15,97.36802973977694,0.2326880195294728,0,4926,1,0,True,0-10%,0.0491310333813774,0.2017829050865234,4.107035639169087,4.107035639169087,97.31040574311011
2022-08-22,90.02496016994158,0.2387334486835652,0,4898,1,0,True,0-10%,0.0259808354822781,-0.0754156121825638,-2.902740069079219,-2.902740069079219,92.83285691454151
2022-08-29,91.84652150823152,0.2712058199580079,0,4774,1,0,True,0-10%,0.1360193615662295,0.0202339588359867,0.148757931245947,0.148757931245947,91.90184410987429
2022-09-05,82.38767923526287,0.2426362524471451,1,4858,1,0,True,0-10%,-0.1053427522878617,-0.1029853076375999,0.977621197480964,0.977621197480964,88.35052576039662
2022-09-12,67.91715347849177,0.1636508504330131,0,4948,0,0,True,0-10%,-0.3255300937824112,-0.1756394389438942,0.5395490072917621,0.5395490072917621,67.95192475806257
2022-09-19,66.49442379182156,0.1489194430574344,0,4957,0,0,True,0-10%,-0.0900172980256444,-0.020948017014888,0.2327110174859979,0.2327110174859979,66.62658919146368
2022-09-26,71.63887413701539,0.2122886693221878,0,4955,0,0,True,0-10%,0.4255268819418929,0.0773666429729491,0.1818137613771574,0.1818137613771574,71.70542389553026
2022-10-10,96.43441317047264,0.2396598952686642,1,5036,0,0,True,0-10%,0.0368308609229592,-0.1099161805793834,-2.984350021285137,-2.984350021285137,96.31769385677195
2022-10-17,65.86192246415294,0.1788242062468572,0,4978,0,0,True,0-10%,-0.2538417575189573,-0.3170288458361328,1.2489231438308828,1.2489231438308828,65.97722908304607
2022-10-24,64.64577801380774,0.2221431944429149,0,4848,0,0,True,0-10%,0.2422434250106948,-0.0184650615233272,-0.0762252330378504,-0.0762252330378504,64.75614973003165
2022-10-31,76.2761550716941,0.237456224772651,0,5099,0,0,True,0-10%,0.0689331508360531,0.1799093059936911,2.609909801186627,2.609909801186627,100.95256992661386
2022-11-07,95.33669676048858,0.2171743919429199,0,5099,0,0,True,0-10%,-0.0854129338961302,0.2498886011084189,-2.9256529393113437,-2.9256529393113437,95.39357315941751
2022-11-14,109.2867764206054,0.2286604049071592,1,5442,0,0,True,0-10%,0.0528884315571522,0.1463243444983539,2.766660689119377,2.766660689119377,109.30596728503063
2022-11-21,103.1667551779076,0.1723019490834437,0,5337,0,0,True,0-10%,-0.2464722995946682,-0.0559996501236714,0.2272046400985617,0.2272046400985617,102.98903746205984
2022-12-05,154.33351035581518,0.2136553276106772,0,5537,0,1,True,0-10%,0.3345618955875733,-0.0668529043444755,-0.199822230882167,-0.199822230882167,154.2041834354602
2022-12-12,147.64524694636216,0.2290967258306991,0,5613,0,1,True,0-10%,0.0722724698358998,-0.0433364302673687,-0.5996256993260012,-0.5996256993260012,147.59939119825845
2022-12-19,148.59904407859798,0.2484142453449856,0,5669,0,1,True,0-10%,0.0843203648775059,0.0064600598526705,0.0766132815252303,0.0766132815252303,81.95736220045535
2023-01-09,57.23898035050451,0.1784633046932969,0,5599,0,1,True,0-10%,-0.2626892180635538,-0.2040278270116978,0.7766890035141689,0.7766890035141689,57.291714719374376
2023-01-23,57.1279872543813,0.2452443008299843,0,5622,0,1,True,0-10%,0.3708894961538349,0.1004470451034751,0.2708274193395124,0.2708274193395124,57.15099093981537
2023-01-30,56.76048858204992,0.2191974023468503,0,5547,0,1,True,0-10%,-0.1062079664847786,-0.0064329007548432,0.0605689099203797,0.0605689099203797,95.34067033450123
2023-02-13,70.25278810408922,0.2233747660164337,0,5539,0,1,True,0-10%,0.042267868168563,-0.0705945171216996,-1.6701698046414508,-1.6701698046414508,70.45386548537529
