department_desc,product_number,avg_elasticity,std_elasticity,months_elastic,avg_monthly_orders,total_orders,avg_discount,std_discount,dept_avg_elasticity,dept_std_elasticity,elastic_observations,num_elastic_products,total_dept_orders,dept_avg_discount,dept_std_discount,elasticity_vs_dept,discount_vs_dept
MENS BRANDED CLOTHING,230,1.0862617439324556,0.12199237435647857,2,2.0,4,4.596774693548387,6.5008197005759945,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.701505935341341,-14.0105942558814
MENS BRANDED CLOTHING,231,1.8959948473969621,1.0274819877546302,7,10.714285714285714,75,12.54794821154268,6.289601424255822,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-7.8917728318768345,-6.059420737887107
MENS BRANDED CLOTHING,232,0.9311202832255464,0.3477071516982644,3,45.0,135,13.968253968253968,5.74067978413496,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.85664739604825,-4.639114981175819
MENS BRANDED CLOTHING,233,3.359007615893275,3.957541964434897,7,24.714285714285715,173,21.95567259161729,7.154612025039764,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-6.428760063380522,3.3483036421875028
MENS BRANDED CLOTHING,234,3.116808632368091,2.8098931644236274,3,44.0,132,25.698924731182796,15.618811643075352,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-6.670959046905706,7.091555781753009
MENS BRANDED CLOTHING,235,32.06403178995164,86.54821411510271,8,34.625,277,16.083079637096773,11.526707727896662,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,22.276264110677843,-2.524289312333014
MENS BRANDED CLOTHING,236,1.4479950716845877,0.9287740662840974,3,18.333333333333332,55,21.39784946236559,7.567478842973293,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.33977260758921,2.790480512935801
MENS BRANDED CLOTHING,237,2.3256782006297754,1.2643926379846078,6,21.333333333333332,128,35.25627240143369,9.481355374722611,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-7.462089478644021,16.648903452003903
MENS BRANDED CLOTHING,238,0.4253781628194552,0.4911368104551185,4,112.0,448,13.50000025,14.831148099960542,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.362389516454341,-5.107368699429788
MENS BRANDED CLOTHING,239,1.8941051776846924,2.8225852500270703,8,115.5,924,25.131841397849463,16.264996035627316,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-7.893662501589104,6.524472448419676
MENS BRANDED CLOTHING,240,14.780893273930706,24.67867958742114,6,136.83333333333334,821,33.558243727598565,12.053774191944918,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,4.9931255946569095,14.950874778168778
MENS BRANDED CLOTHING,242,1.471284128388305,2.076438442953064,4,61.25,245,20.63225831451613,16.220867376553212,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.316483550885492,2.0248893650863415
MENS BRANDED CLOTHING,243,5.9836615034008656,6.961936161999879,7,78.0,546,28.747329383366253,13.027078752952042,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-3.8041061758729313,10.139960433936466
MENS BRANDED CLOTHING,244,976.5617339158565,1946.3876539211342,4,32.5,130,22.92415975422427,7.374138065653455,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,966.7739662365827,4.316790804794483
MENS BRANDED CLOTHING,245,40.112291414644545,38.72332003085624,2,101.5,203,31.25,12.374368670764582,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,30.324523735370747,12.642631050570213
MENS BRANDED CLOTHING,246,0.5926647421655025,0.726992512220278,7,111.42857142857143,780,11.011520880184332,8.808798143191348,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.195102937108295,-7.595848069245456
MENS BRANDED CLOTHING,247,11.013156454293954,20.715415761707106,9,56.44444444444444,508,18.0142708911077,10.630908232501262,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,1.225388775020157,-0.593098058322088
MENS BRANDED CLOTHING,248,13.892850450370368,19.331237505903502,6,227.33333333333334,1364,18.091398016129034,14.762220804206502,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,4.105082771096571,-0.5159709333007534
MENS BRANDED CLOTHING,249,1.6451754385964916,,1,16.0,16,9.03225806451613,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.142592240677306,-9.575110884913657
MENS BRANDED CLOTHING,250,0.7333333588405806,,1,16.0,16,1e-06,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.054434320433216,-18.607367949429786
MENS BRANDED CLOTHING,251,112.19434907635882,180.4905326689685,3,21.666666666666668,65,26.431397849462368,8.045580151378216,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,102.40658139708502,7.82402890003258
MENS BRANDED CLOTHING,252,1.5891291565816634,1.463685828382591,4,55.5,222,15.81221198156682,13.320448679891275,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.198638522692134,-2.795156967862967
