date_of_order,orders,discount,is_holiday,is_weekend,is_summer,is_winter,discount_applied,discount_range,pct_change_discount,pct_change_orders,elasticity,elasticity_clipped
2022-10-24,64.64577801380774,0.2221431944429149,0,4848,0,0,True,0-10%,0.24224342501069485,-0.018465061523327275,-0.07622523303785049,-0.07622523303785049
2022-10-31,76.2761550716941,0.23745622477265102,0,5099,0,0,True,0-10%,0.06893315083605311,0.17990930599369115,2.609909801186627,2.609909801186627
2022-11-07,95.33669676048858,0.21717439194291993,0,5099,0,0,True,0-10%,-0.08541293389613025,0.24988860110841893,-2.9256529393113433,-2.9256529393113433
2022-11-14,109.2867764206054,0.22866040490715922,1,5442,0,0,True,0-10%,0.05288843155715228,0.14632434449835396,2.7666606891193775,2.7666606891193775
2022-11-21,103.16675517790759,0.17230194908344373,0,5337,0,0,True,0-10%,-0.2464722995946682,-0.055999650123671474,0.22720464009856173,0.22720464009856173
2022-12-05,154.33351035581518,0.2136553276106772,0,5537,0,1,True,0-10%,0.3345618955875733,-0.06685290434447555,-0.19982223088216708,-0.19982223088216708
2022-12-12,147.64524694636216,0.22909672583069918,0,5613,0,1,True,0-10%,0.07227246983589986,-0.043336430267368775,-0.5996256993260012,-0.5996256993260012
2022-12-19,148.59904407859798,0.24841424534498568,0,5669,0,1,True,0-10%,0.08432036487750594,0.006460059852670508,0.07661328152523035,0.07661328152523035
2023-01-09,57.23898035050451,0.1784633046932969,0,5599,0,1,True,0-10%,-0.26268921806355383,-0.20402782701169786,0.7766890035141689,0.7766890035141689
2023-01-23,57.1279872543813,0.2452443008299843,0,5622,0,1,True,0-10%,0.37088949615383493,0.10044704510347513,0.27082741933951243,0.27082741933951243
2023-01-30,56.760488582049916,0.21919740234685037,0,5547,0,1,True,0-10%,-0.1062079664847786,-0.006432900754843263,0.060568909920379714,0.060568909920379714
2023-02-13,70.25278810408922,0.2233747660164337,0,5539,0,1,True,0-10%,0.042267868168563094,-0.07059451712169962,-1.6701698046414508,-1.6701698046414508
