week,department_desc,product_number,orders_x,discount,pct_change_discount,pct_change_orders,elasticity,orders_y,orders_smoothed,seasonal,trend,residual
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,1336,84,70.0,0.025769850740019695,0.3999999999999999,15.522014622258313,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,1532,144,66.67,3.501688048615801,0.37142857142857144,0.10607129083797034,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,1598,16,19.857142857142858,-0.0071428571428571175,-0.6595744680851063,92.34042553191522,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,1607,14,20.83571428571429,-0.00923850281910188,-0.5625,60.886488970588786,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,1629,48,11.47,0.7196401799100451,5.0,6.947916666666665,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,2307,22,20.715714285714284,-0.03333111125924948,-0.15384615384615385,4.615692307692295,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,2934,176,40.142857142857146,-0.10793650793650789,-0.45171339563862933,4.1849917537108325,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,3256,217,30.0,0.050000000000000044,20.7,413.9999999999996,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,3258,70,36.23,0.037938937546042384,0.627906976744186,16.55046285843306,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,3273,32,24.0,0.19999999999999996,0.28,1.4000000000000004,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,3887,27,26.873333333333335,3.299733333333333,4.4,1.3334410861483759,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,3897,92,56.07142857142857,0.4017857142857142,2.2857142857142856,5.68888888888889,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,4436,32,1e-06,-0.9999999274836838,-0.8171428571428572,0.8171429163990512,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,4450,12,50.40857142857143,0.6012161364977082,2.0,3.326590686089517,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,4452,157,56.44571428571429,0.9777755531084193,2.488888888888889,2.5454603369623334,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND BOTTOMS,4453,26,24.875714285714285,0.20814542426975646,1.6,7.686933333333334,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,540,38,27.43857142857143,0.058178612748608804,2.8,48.127651515151584,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,546,67,51.019999999999996,0.2294399118730419,0.675,2.941946736684174,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,549,49,61.08,0.03128391905255801,2.769230769230769,88.51930490480974,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,551,25,40.0,0.0370370370370372,0.6666666666666667,17.999999999999922,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,553,123,39.0,0.03409090909090917,0.22999999999999998,6.74666666666665,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,765,395,6.669999999999999,0.9333333333333329,1.1823204419889501,1.2667719021310186,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,766,344,5.717142857142856,5717141.857142856,0.14666666666666672,2.5653844233972436e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,980,415,5.558333333333334,5558332.333333334,0.15277777777777768,2.7486261816618796e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,982,300,5.717142857142856,5717141.857142856,0.013513513513513598,2.363683436791086e-09,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,1116,503,6.67,6669999.0,3.7452830188679247,5.615117811663727e-07,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,1119,365,5.717142857142856,5717141.857142856,0.38783269961977185,6.783681589695439e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,1127,578,5.558333333333334,5558332.333333334,0.6100278551532032,1.0975015860330347e-07,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,1128,189,5.717142857142856,5717141.857142856,0.09883720930232553,1.7287870717925384e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,2112,21,5.717142857142856,5717141.857142856,0.3999999999999999,6.996502972901569e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,2113,38,5.717142857142856,5717141.857142856,0.46153846153846145,8.072888045655656e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,2617,10,38.57,0.03846301780837735,1.0,25.998999999999928,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,2631,36,43.832857142857144,3.822096495363822,2.6,0.6802549342105263,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,2650,349,5.717142857142856,5717141.857142856,0.1368078175895766,2.3929407562041214e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,3555,535,33.40714285714286,0.08570500023213712,0.11226611226611216,1.3099132134885092,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,3556,303,33.40714285714286,0.08570500023213712,0.3116883116883118,3.636757608588593,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,3557,467,33.40714285714286,0.08570500023213712,0.05180180180180183,0.6044198315325074,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,3558,566,33.40714285714286,0.08570500023213712,0.5854341736694677,6.830805344889846,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,4364,59,8.758571428571429,1.7116320212295446,0.37209302325581395,0.2173907818039781,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND DENIM,4367,12,5.717142857142856,5717141.857142856,0.5,8.745628716126963e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND FOOTWEAR,713,70,49.44857142857143,0.6070383954686847,3.666666666666667,6.040254939451882,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND FOOTWEAR,1383,8,54.43,0.04152315346345192,1.0,24.08294930875579,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND FOOTWEAR,1737,10,35.89,0.04085014707710144,1.0,24.479716024340835,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND FOOTWEAR,2231,34,70.0,0.015544041450777257,1.8333333333333335,117.94444444444403,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND FOOTWEAR,2364,46,57.41428571428572,0.2413899613899615,2.8333333333333335,11.73757730859458,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND FOOTWEAR,2900,68,64.0,-0.08130831539013628,-0.3982300884955752,4.897778124965131,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,303,156,51.882857142857134,2.2858047588889887,5.24,2.2924092618246594,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,307,18,35.18333333333333,0.5834083408340833,3.5,5.999228593468759,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,324,127,70.0,0.04972257331990848,0.14414414414414423,2.898967903707232,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,432,89,35.97,0.726836293807009,4.933333333333334,6.787406428885955,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,435,22,24.695714285714285,0.1523898406772881,3.4000000000000004,22.31119860017499,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,778,39,50.85,0.27125,2.9,10.691244239631336,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,813,59,53.867142857142866,0.4535116799013186,6.375,14.056969825754349,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,836,16,38.48857142857143,0.03854752910338455,0.33333333333333326,8.647333333333314,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2095,72,4.167142857142857,4167141.8571428573,0.3846153846153846,9.229716621144517e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2097,55,37.08,0.7801248199711952,2.6666666666666665,3.418256410256411,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2267,126,43.65,43649999.0,3.846153846153846,8.811349219398254e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2269,239,56.01142857142857,0.5203970839149992,2.3194444444444446,4.45706656731247,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2271,186,70.0,0.035590497928819076,0.7547169811320755,21.205575225204996,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2285,39,57.401428571428575,0.2719128865816214,3.875,14.250887660069846,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2622,21,24.728571428571428,0.0714285714285714,1.1,15.400000000000007,,,,,
