department_desc,avg_elasticity,total_orders,avg_discount,elastic_products_count,type,product_number
MENS OWN BRAND OUTERWEAR,7.067226890756293,10,40.0,,product,122.0
MENS OWN BRAND OUTERWEAR,48.25265146646114,457,27.35215053763441,,product,124.0
MENS OWN BRAND OUTERWEAR,3.2800751153419925,584,39.97210752688172,,product,125.0
MENS BRANDED CLOTHING,8.629090909090916,46,10.0,,product,127.0
MENS OWN BRAND OUTERWEAR,2.9704793850593973,1875,35.88289157264686,,product,128.0
MENS OWN BRAND OUTERWEAR,9.659974935418663,408,36.435046082949306,,product,129.0
MENS OWN BRAND OUTERWEAR,11.727979896481934,105,35.01234420289855,,product,130.0
MENS OWN BRAND OUTERWEAR,3.7096761989064277,2501,36.64078999341672,,product,131.0
MENS OWN BRAND OUTERWEAR,4.967197202808339,995,32.58262314388121,,product,132.0
MENS OWN BRAND OUTERWEAR,6.01510518978559,435,50.252813620071684,,product,133.0
MENS OWN BRAND OUTERWEAR,475.17536488907143,378,32.28618438522674,,product,134.0
MENS OWN BRAND OUTERWEAR,6.488855602721015,1648,29.66235975422427,,product,135.0
MENS OWN BRAND OUTERWEAR,2.129232217768944,1309,35.451750000000004,,product,136.0
MENS OWN BRAND OUTERWEAR,8.57346963684551,1480,53.13832405529954,,product,137.0
MENS OWN BRAND OUTERWEAR,2.8512751250013486,1377,33.30369758899352,,product,138.0
MENS OWN BRAND OUTERWEAR,8.322182060869382,288,45.345622119815665,,product,139.0
MENS OWN BRAND OUTERWEAR,6.716981132075473,48,20.45,,product,140.0
MENS OWN BRAND OUTERWEAR,13.898795069809657,961,54.30843727598566,,product,141.0
MENS OWN BRAND OUTERWEAR,1.3326542067570601,20,20.337096774193547,,product,142.0
MENS OWN BRAND OUTERWEAR,1.2019635820587438,10,9.655172413793103,,product,143.0
MENS OWN BRAND OUTERWEAR,15.2247634069401,100,47.833333333333336,,product,144.0
MENS OWN BRAND OUTERWEAR,6.364984393845037,69,29.430107526881716,,product,145.0
MENS OWN BRAND OUTERWEAR,2.0339211188838715,70,20.945833333333333,,product,146.0
MENS OWN BRAND OUTERWEAR,2.002649006622516,16,10.0,,product,148.0
MENS OWN BRAND OUTERWEAR,14.812425852375279,20,35.80322580645161,,product,149.0
MENS OWN BRAND OUTERWEAR,2.119047619047619,0,23.5,,product,150.0
MENS OWN BRAND OUTERWEAR,8.024160209797094,174,32.88821256038647,,product,152.0
MENS OWN BRAND TOPS,1.7942092186517382,5,23.81,,product,158.0
MENS OWN BRAND TOPS,20.195703706595438,116,31.549899193548388,,product,161.0
MENS OWN BRAND TOPS,2.832016703978731,215,52.03637931034483,,product,162.0
MENS OWN BRAND TOPS,10.474555023406984,183,57.916666666666664,,product,163.0
MENS OWN BRAND TOPS,1.1722098638779785,187,16.8962505,,product,164.0
MENS OWN BRAND TOPS,1.355829656979488,643,40.760127272727274,,product,165.0
MENS OWN BRAND TOPS,1.3594798109039727,25,14.48076923076923,,product,167.0
MENS OWN BRAND TOPS,3.701754385964911,8,20.0,,product,168.0
MENS OWN BRAND TOPS,1.0000000954545547,0,1e-06,,product,171.0
MENS OWN BRAND TOPS,2.136195380190013,73,11.848947368421053,,product,173.0
MENS OWN BRAND TOPS,5.4,70,20.0,,product,174.0
MENS OWN BRAND TOPS,3.6064760909566917,140,25.489666666666665,,product,175.0
MENS OWN BRAND TOPS,10.023238433332553,30,46.111111111111114,,product,176.0
MENS OWN BRAND TOPS,1.95276073745395,377,20.685613415258576,,product,177.0
MENS OWN BRAND TOPS,1.899570135807684,350,36.5836559139785,,product,178.0
MENS OWN BRAND TOPS,18.628358625496038,265,32.475819291819285,,product,179.0
MENS OWN BRAND TOPS,24.342967991087114,380,30.163363704668402,,product,180.0
MENS OWN BRAND TOPS,23.682802123432552,1114,21.497029761904763,,product,182.0
MENS OWN BRAND TOPS,69.82717091713985,683,22.355602918586786,,product,183.0
MENS OWN BRAND TOPS,2.1479503455244795,789,23.9471171530978,,product,184.0
MENS OWN BRAND TOPS,3.9192376660555164,665,26.057513978494626,,product,185.0
MENS OWN BRAND TOPS,1.5400934660186847,166,18.842222222222222,,product,186.0
MENS OWN BRAND TOPS,36.037156936029966,1155,24.446588227185003,,product,187.0
MENS OWN BRAND TOPS,85.4114632322793,600,12.113928571428572,,product,188.0
MENS OWN BRAND TOPS,1.053217115689382,5,4.76,,product,189.0
MENS OWN BRAND TOPS,5.340446664413931,104,35.80211111111111,,product,190.0
MENS OWN BRAND TOPS,7.197902101086798,486,19.845345238095238,,product,191.0
MENS OWN BRAND TOPS,2.437680175652531,137,14.706263440860214,,product,192.0
MENS OWN BRAND TOPS,3.287053114289952,73,39.621315412186384,,product,193.0
MENS OWN BRAND TOPS,68.79330137497519,168,38.7045,,product,194.0
MENS OWN BRAND TOPS,2.7172682369080445,1377,25.116838709677417,,product,195.0
MENS OWN BRAND TOPS,4.656402506529019,440,28.68427956989247,,product,197.0
MENS OWN BRAND TOPS,1.262511254623621,96,13.89,,product,198.0
MENS OWN BRAND TOPS,1.8363736424140449,1619,19.008137651821862,,product,199.0
MENS OWN BRAND TOPS,9.85683728560724,118,10.128963133640553,,product,200.0
MENS OWN BRAND TOPS,377.0850312415118,130,20.525666666666666,,product,203.0
MENS OWN BRAND TOPS,7.2653773302761575,40,13.447058823529412,,product,206.0
MENS OWN BRAND TOPS,3.9228515680217417,329,25.9,,product,207.0
MENS OWN BRAND TOPS,2.2993024419177073,50,25.666666666666668,,product,209.0
MENS OWN BRAND TOPS,1.2967779222655689,4,10.26,,product,211.0
MENS OWN BRAND TOPS,2.8465545320039025,482,18.56,,product,212.0
MENS OWN BRAND TOPS,2.519567162024166,71,24.66724561403509,,product,214.0
MENS OWN BRAND TOPS,1.7779627243996714,352,15.021935483870967,,product,215.0
MENS OWN BRAND TOPS,2.488169726084074,1534,21.046864558504158,,product,216.0
MENS BRANDED CLOTHING,1.8844984802431608,45,16.870967741935484,,product,219.0
MENS BRANDED CLOTHING,3.8522988505747118,20,12.173913043478262,,product,222.0
MENS BRANDED CLOTHING,1.5886044176706826,157,20.0,,product,224.0
MENS BRANDED CLOTHING,58.4664865204172,1110,40.3668202764977,,product,226.0
MENS BRANDED CLOTHING,3.289459135255748,40,15.496516329032257,,product,227.0
MENS BRANDED CLOTHING,4.940042731572691,154,36.40860215053763,,product,228.0
MENS BRANDED CLOTHING,4.869005140754235,227,25.706989247311828,,product,229.0
MENS BRANDED CLOTHING,1.0862617439324556,4,4.596774693548387,,product,230.0
MENS BRANDED CLOTHING,2.4264017482676214,40,10.698310291858679,,product,231.0
MENS BRANDED CLOTHING,1.2654545454545456,35,13.333333333333334,,product,232.0
MENS BRANDED CLOTHING,4.534230849812284,112,22.804608294930876,,product,233.0
MENS BRANDED CLOTHING,4.675212837837838,117,34.03225806451613,,product,234.0
MENS BRANDED CLOTHING,36.635752978362675,252,16.09494815668203,,product,235.0
MENS BRANDED CLOTHING,1.9136592741935483,30,17.258064516129032,,product,236.0
